江流石不转,遣恨失吞吴
慈母手中线,游子身上衣
春眠不觉晓 ,处处闻啼鸟
孤舟蓑笠翁,独钓寒江雪
离离原上草,一岁一枯荣
国破山河在,城春草木深
千山鸟飞绝,万径人踪灭
向晚意不适,驱车登古原
海上生明月,天涯共此时
野火烧不尽,春风吹又生
古调虽自爱,今人多不弹
欲穷千里目,更上一层楼
由来征战地,不见有人还
海内存知己,天涯若比邻
白头搔更短,浑欲不胜簪
举头望明月,低头思故乡
感时花溅泪,恨别鸟惊心
夜来风雨声,花落知多少
与君离别意,同是宦游人
空山不见人,但闻人语响
红豆生南国,春来发几枝
来日绮窗前,寒梅著花未
长风几万里,吹度玉门关
无为在岐路,儿女共沾巾
明月出天山,苍茫云海间
又送王孙去,萋萋满别情
林表明霁色,城中增暮寒
愿君多采撷,此物最相思
君自故乡来,应知故乡事
汉下白登道,胡窥青海湾
情人怨遥夜,竟夕起相思
不堪盈手赠,还寝梦佳期
灭烛怜光满,披衣觉露滋
吴楚东南坼,乾坤日夜浮
返影入深林,复照青苔上
戍客望边色,思归多苦颜
昔闻洞庭水,今上岳阳楼
功盖三分国,名成八阵图
烽火连三月,家书抵万金
夕阳无限好,只是近黄昏
床前明月光,疑是地上霜
亲朋无一字,老病有孤舟
终南阴岭秀,积雪浮云端
白日依山尽,黄河入海流
临行密密缝,意恐迟迟归
远芳侵古道,晴翠接荒城
谁言寸草心,报得三春晖
泠泠七弦上,静听松风寒
高楼当此夜,叹息未应闲
城阙辅三秦,风烟望五津
