Var1 Var2 Var3 Var4 Var5 Var6 Var7 Var8
7 ¡Á 98 + 53 + 79 =
31 ¡Â 12 ¡Á 49 + 42 =
92 - 16 + 21 ¡Â 16 =
96 ¡Á 75 ¡Á 21 ¡Á 67 =
22 + 45 - 95 ¡Á 59 =
15 ¡Â 63 ¡Á 19 - 9 =
22 ¡Â 53 - 67 - 46 =
22 ¡Á 23 ¡Â 90 - 31 =
26 + 90 + 12 + 67 =
33 ¡Â 33 ¡Â 83 ¡Á 56 =
65 - 85 ¡Á 60 ¡Â 34 =
22 ¡Á 63 + 27 - 98 =
17 ¡Á 80 - 93 ¡Â 47 =
62 ¡Á 42 ¡Â 97 - 66 =
78 - 42 ¡Â 15 + 50 =
85 + 68 ¡Â 45 ¡Á 50 =
16 - 70 ¡Â 21 ¡Â 68 =
13 ¡Â 60 ¡Á 78 ¡Á 58 =
69 + 43 ¡Â 28 ¡Á 98 =
97 - 73 ¡Â 73 + 65 =
9 + 53 + 86 ¡Á 21 =
83 ¡Â 21 - 48 ¡Á 30 =
35 ¡Á 93 + 4 - 73 =
38 - 59 + 33 + 87 =
86 + 55 - 5 - 54 =
83 ¡Â 57 + 22 ¡Á 33 =
7 + 38 ¡Â 26 ¡Â 27 =
48 + 10 ¡Â 7 + 82 =
7 ¡Á 30 ¡Â 79 - 46 =
92 + 56 + 43 ¡Â 40 =
7 ¡Á 72 ¡Â 72 - 75 =
69 + 27 + 1 + 36 =
90 - 75 - 30 ¡Á 19 =
17 - 8 ¡Â 44 + 28 =
24 ¡Â 15 + 48 ¡Â 73 =
40 ¡Á 16 - 15 - 91 =
36 - 16 - 88 - 81 =
74 ¡Â 50 ¡Á 41 ¡Á 87 =
19 + 93 + 83 ¡Â 69 =
47 - 89 - 99 + 4 =
83 ¡Â 66 - 45 ¡Â 58 =
80 + 64 ¡Á 79 ¡Á 6 =
39 ¡Á 43 - 67 + 64 =
89 - 62 ¡Â 62 ¡Â 88 =
77 - 76 ¡Á 12 ¡Á 21 =
12 + 85 - 39 + 46 =
8 ¡Â 3 ¡Â 97 ¡Á 16 =
94 ¡Â 24 ¡Á 8 - 68 =
9 ¡Á 7 ¡Á 70 - 1 =
16 - 28 + 32 ¡Á 72 =
58 + 52 ¡Á 58 ¡Á 1 =
36 ¡Á 55 ¡Á 10 ¡Á 28 =
60 ¡Â 1 - 4 - 38 =
17 ¡Â 31 + 27 + 31 =
59 + 54 ¡Â 80 + 38 =
76 - 66 ¡Á 56 - 86 =
43 ¡Á 58 ¡Â 77 ¡Â 54 =
99 ¡Â 11 ¡Â 31 + 38 =
48 + 23 ¡Â 33 - 23 =
3 - 2 - 79 ¡Â 2 =
91 ¡Á 20 ¡Â 61 ¡Á 53 =
71 + 36 ¡Â 76 - 51 =
77 ¡Â 37 ¡Â 93 ¡Á 91 =
56 - 53 ¡Â 18 - 61 =
73 + 88 + 48 + 76 =
19 ¡Á 3 ¡Â 13 ¡Â 87 =
80 ¡Á 19 - 18 ¡Â 68 =
40 ¡Â 94 - 48 ¡Á 41 =
20 + 34 - 45 ¡Á 14 =
99 - 44 - 81 ¡Á 82 =
24 - 65 - 26 + 13 =
41 ¡Á 7 ¡Á 11 + 53 =
22 + 3 - 100 + 75 =
99 + 96 + 48 + 99 =
86 ¡Á 31 ¡Â 96 - 12 =
12 - 1 - 31 ¡Á 37 =
13 + 72 ¡Á 96 + 33 =
79 ¡Â 68 ¡Á 11 ¡Â 73 =
89 ¡Â 1 ¡Â 11 - 38 =
92 + 100 + 18 - 18 =
11 ¡Á 61 ¡Â 42 ¡Â 26 =
21 ¡Â 19 + 89 - 64 =
63 ¡Â 66 ¡Á 18 - 63 =
88 - 18 ¡Á 65 + 89 =
26 ¡Â 59 ¡Á 49 ¡Â 84 =
6 - 74 ¡Â 56 ¡Â 43 =
78 + 40 ¡Â 36 ¡Á 66 =
40 - 18 ¡Â 6 ¡Â 25 =
91 ¡Á 99 ¡Á 49 + 15 =
52 ¡Â 100 ¡Â 77 ¡Â 97 =
93 ¡Á 24 - 10 ¡Á 41 =
14 - 76 ¡Á 35 - 45 =
20 ¡Á 74 ¡Á 21 ¡Á 77 =
25 - 62 + 35 + 73 =
12 + 19 ¡Â 20 ¡Á 37 =
41 ¡Á 23 + 67 + 96 =
44 + 81 + 80 + 100 =
22 + 33 + 77 - 76 =
97 + 57 ¡Á 61 ¡Â 37 =
35 + 60 ¡Á 53 - 49 =
